sample ID;locality;country;Collection date;eventDate;Number and gender;individualCount;Family;Genus;species;scientific name;Z;decimalLatitude;decimalLongitude;Troglomorphy;habitat;joint coordinates;unique species count;air temperature;deepest air temperature;média temperature
1;Špilja na Pozalicu;Croatia;29.9.2007.;2007-09-29;1 m, 1 f;2;Nesticidae;Kryptonesticus;eremita;;60;4 276 131;169 129;tf;deep cave;;4;;12,65;14
2;Špilja na Pozalicu;Croatia;4.3.2008.;2008-03-04;1 m, 1 f;2;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;60;4 276 131;169 129;tf;deep cave;4 276 131 169 129;4;;12,65;14
3;oko kampa u Skrivenoj Luci;Croatia;4.3.2008.;2008-03-04;1 f;1;Dysderidae;Dysdera;sp.;Dysdera sp.;;42 741 872;1 688 264;Tx;;427 418 721 688 264;1;;;
4;Jama pod Velji vrh;Croatia;30.9.2007.;2007-09-30;3 juv;3;Dysderidae;Folkia;sp. 2;Folkia sp. 2;70;42 766 635;16 907 278;Tb;deep cave;4 276 663 516 907 270;2;;;16,567
5;Medvidina špilja;Croatia;3.3.2008.;2008-03-03;2f, 4 juv;6;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;;42 734 776;16 863 532;tf;deep cave;4 273 477 616 863 530;1;;;
7;Špilja na Pozalicu;Croatia;29.9.2007.;2007-09-29;1 juv;1;Cheiracanthiidae;Gen.;sp.;Gen. sp.;60;4 276 131;169 129;;;4 276 131 169 129;4;;12,65;14
8;Špilja na Pozalicu;Croatia;3.3.2008.;2008-03-03;6 juv;6;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;60;4 276 131;169 129;tf;deep cave;4 276 131 169 129;4;;12,65;14
9;Ra?a špilja;Croatia;28.9.2007.;2007-09-28;1 juv;1;Dysderidae;Folkia;sp. 2;Folkia sp. 2;141;42 734 493;16 910 785;Tb;deep cave;4 273 449 316 910 780;4;;14,8;14,42
10;Jama pod Velji vrh;Croatia;30.9.2007.;2007-09-30;1 juv;1;Dysderidae;Folkia;sp. 2;Folkia sp. 2;;42 766 635;16 907 278;Tb;deep cave;4 276 663 516 907 270;2;;;16,567
11;Hrastovska špilja;Croatia;2.10.2007.;2007-10-02;5 juv;5;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;120;42 756 282;16 875 635;tf;deep cave;4 275 628 216 875 630;4;;;12,6
12;Ra?a špilja;Croatia;28.9.2007.;2007-09-28;1 f;1;Dysderidae;Folkia;sp. 2;Folkia sp. 2;141;42 734 493;16 910 785;Tb;deep cave;4 273 449 316 910 780;4;;14,8;14,42
13;Jama pod Velji vrh;Croatia;30.9.2007.;2007-09-30;1 juv;1;Dysderidae;Folkia;sp. 2;Folkia sp. 2;;42 766 635;16 907 278;Tb;deep cave;4 276 663 516 907 270;2;;;16,567
14;Špilja na Pozalicu;Croatia;4.3.2008.;2008-03-04;1 f;1;Leptonetidae;Barusia;sp. 1;Barusia sp. 1;60;4 276 131;169 129;tb;deep cave;4 276 131 169 129;4;;12,65;14
16;Polušpilja na Mr?ari;Croatia;1.10.2007.;2007-10-01;1f, 2 juv;3;Agelenidae;Tegenaria;domestica;Tegenaria domestica;;42 768 583;16 788 965;Tf;cave entrance;4 276 858 316 788 960;2;;;19,4
18;Špilja na Pozalicu;Croatia;29.9.2007.;2007-09-29;1 f, 1 juv;2;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;60;4 276 131;169 129;tf;deep cave;4 276 131 169 129;4;;12,65;14
19;Špilja na Pozalicu;Croatia;3.3.2008.;2008-03-03;1 juv;1;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;60;4 276 131;169 129;tf;deep cave;4 276 131 169 129;4;;12,65;14
20;Jama pod Velji vrh;Croatia;30.9.2007.;2007-09-30;1 f, 1 juv;2;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;;42 766 635;16 907 278;tf;deep cave;4 276 663 516 907 270;2;;;16,567
21;Špilja na Pozalicu;Croatia;29.9.2007.;2007-09-29;2 juv;2;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;60;4 276 131;169 129;tf;deep cave;4 276 131 169 129;4;;12,65;14
22;Jama pod Velji vrh (ispred);Croatia;2.3.2008.;2008-03-02;1 juv;1;Dysderidae;Folkia;sp. 2;Folkia sp. 2;;42 766 635;16 907 278;Tb;shallow subterranean habitat;4 276 663 516 907 270;2;;;
23;Hrastovska špilja;Croatia;3.3.2008.;2008-03-03;2 juv;2;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;120;42 756 282;16 875 635;tf;deep cave;4 275 628 216 875 630;4;;;12,6
25;Ra?a špilja;Croatia;28.9.2007.;2007-09-28;1f;1;Dysderidae;Folkia;sp. 2;Folkia sp. 2;141;42 734 493;16 910 785;Tb;deep cave;4 273 449 316 910 780;4;;14,8;14,42
26;Špilja pod Kaštel;Croatia;4.3.2008.;2008-03-04;1 m;1;Leptonetidae;Barusia;sp. 1;Barusia sp. 1;;42 768 041;16 899 005;tb;deep cave;4 276 804 116 899 000;2;;15,3;16,95
29;Hrastovska špilja;Croatia;4.3.2008.;2008-03-04;6 juv;6;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;120;42 756 282;16 875 635;tf;deep cave;4 275 628 216 875 630;4;;;12,6
30;Ra?a špilja;Croatia;28.9.2007.;2007-09-28;1 juv;1;Dysderidae;Folkia;sp. 2;Folkia sp. 2;141;42 734 493;16 910 785;Tb;deep cave;4 273 449 316 910 780;4;;14,8;14,42
31;Hrastovska špilja;Croatia;2.10.2007.;2007-10-02;5 juv;5;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;120;42 756 282;16 875 635;tf;deep cave;4 275 628 216 875 630;4;;;12,6
32;Hrastovska špilja;Croatia;3.3.2008.;2008-03-03;1 f, 1 juv m;2;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;120;42 756 282;16 875 635;tf;deep cave;4 275 628 216 875 630;4;;;12,6
33;Jama pod Velji vrh;Croatia;30.9.2007.;2007-09-30;3 juv;3;Dysderidae;Folkia;sp. 2;Folkia sp. 2;;42 766 635;16 907 278;Tb;deep cave;4 276 663 516 907 270;2;;;16,567
34;Ra?a špilja;Croatia;28.9.2007.;2007-09-28;1 juv;1;Dysderidae;Folkia;sp. 2;Folkia sp. 2;141;42 734 493;16 910 785;Tb;deep cave;4 273 449 316 910 780;4;;14,8;14,42
35;Špilja na Pozalicu;Croatia;3.3.2008.;2008-03-03;1 f;1;Pholcidae;Pholcus;phalangioides;Pholcus phalangioides;60;4 276 131;169 129;;deep cave;4 276 131 169 129;4;;12,65;14
36;Hrastovska špilja;Croatia;3.3.2008.;2008-03-03;1 juv;1;Dysderidae;Folkia;sp. 2;Folkia sp. 2;120;42 756 282;16 875 635;Tb;deep cave;4 275 628 216 875 630;4;;;12,6
37;Medvidina špilja;Croatia;3.3.2008.;2008-03-03;1 f, 1 juv m;2;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;;42 734 776;16 863 532;tf;deep cave;4 273 477 616 863 530;1;;;
39;Špilja pod Kaštel;Croatia;27.9.2007.;2007-09-27;2 juv;2;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;;42 768 041;16 899 005;tf;deep cave;4 276 804 116 899 000;2;;15,3;16,95
41;Ra?a špilja;Croatia;2.10.2007.;2007-10-02;1 juv;1;Agelenidae;Tegenaria;sp.;Tegenaria sp.;141;42 734 493;16 910 785;;deep cave;4 273 449 316 910 780;4;;14,8;14,42
42;Jama Cvjetana Barbi?a;Croatia;1.10.2007.;2007-10-01;2 juv;2;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;73;42 740 282;16 879 112;tf;deep cave;4 274 028 216 879 110;1;;;17,2
44;Jama pod Velji vrh;Croatia;30.9.2007.;2007-09-30;1 juv;1;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;70;42 766 635;16 907 278;tf;deep cave;4 276 663 516 907 270;2;;;16,567
45;Hrastovska špilja;Croatia;2.10.2007.;2007-10-02;2 juv;2;Dysderidae;Folkia;sp. 2;Folkia sp. 2;120;42 756 282;16 875 635;Tb;deep cave;4 275 628 216 875 630;4;;;12,6
46;Špilja na Pozalicu;Croatia;3.3.2008.;2008-03-03;1 m;1;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;60;4 276 131;169 129;tf;deep cave;4 276 131 169 129;4;;12,65;14
47;Jama pod Velji vrh;Croatia;2.3.2008.;2008-03-02;1 juv;1;Dysderidae;Folkia;sp. 2;Folkia sp. 2;;42 766 635;16 907 278;Tb;deep cave;4 276 663 516 907 270;2;;;16,567
48;Hrastovska špilja;Croatia;3.3.2008.;2008-03-03;1 f, 1 juv;2;Leptonetidae;Barusia;sp. 1;Barusia sp. 1;120;42 756 282;16 875 635;tb;deep cave;4 275 628 216 875 630;4;;;12,6
50;Hrastovska špilja;Croatia;3.3.2008.;2008-03-03;2 juv;2;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;120;42 756 282;16 875 635;tf;deep cave;4 275 628 216 875 630;4;;;12,6
51;Hrastovska špilja;Croatia;2.10.2007.;2007-10-02;1 f;1;Linyphiidae;Bathyphantes;sp. 1;Bathyphantes sp. 1;120;42 756 282;16 875 635;Tx;;4 275 628 216 875 630;4;;;12,6
53;Špilja pod Kaštel;Croatia;4.3.2008.;2008-03-04;1 m;1;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;;42 768 041;16 899 005;tf;deep cave;4 276 804 116 899 000;2;;15,3;16,95
54;Špilja na Pozalicu;Croatia;29.9.2007.;2007-09-29;1 juv;1;Nesticidae;Kryptonesticus;eremita;Kryptonesticus eremita;60;4 276 131;169 129;tf;deep cave;4 276 131 169 129;4;;12,65;14
56;Breg jama;Croatia;30.4.2008.;2008-04-30;1 juv;1;Dysderidae;Harpactea;sp.;Harpactea sp.;;42 723 459;17 591 234;;;4 272 345 917 591 230;1;;;14,9
57;Jama Me?ugra?en;Croatia;30.4.2008.;2008-04-30;1m, 2 juv?;3;Dysderidae;Harpactea;sp. 9;Harpactea sp. 9;;42 737 934;1 755 671;Tb;deep cave;427 379 341 755 671;3;;;15,8
58;Jama Me?ugra?en;Croatia;30.4.2008.;2008-04-30;1f, 2juv;3;Agelenidae;Histopona;bidens;Histopona bidens;;42 737 934;1 755 671;tb;deep cave;427 379 341 755 671;3;;;15,8
59;Jara? na ponti od Graca;Croatia;3.5.2008.;2008-05-03;2 juv;2;Agelenidae;Histopona;bidens;Histopona bidens;;42 785 308;17 392 067;tb;deep cave;4 278 530 817 392 060;2;;;10,833
60;Jama na Žutim kokom;Croatia;2.5.2008.;2008-05-02;1 juv;1;Agelenidae;Histopona;bidens;Histopona bidens;326;42 712 746;17 682 621;tb;deep cave;4 271 274 617 682 620;3;;;
61;Ostaševica;Croatia;28.4.2008.;2008-04-28;1f, 1juv m;2;Agelenidae;Histopona;bidens;Histopona bidens;220;42 748 959;17 544 404;tb;deep cave;4 274 895 917 544 400;9;;;11,4
62;Jama na Brekalcima;Croatia;29.4.2008.;2008-04-29;1m, 1f;2;Agelenidae;Histopona;bidens;Histopona bidens;;42 781 895;17 407 747;tb;deep cave;4 278 189 517 407 740;1;;;12,867
63;Jama pod Sv. Spasom;Croatia;3.5.2008.;2008-05-03;1f;1;Agelenidae;Histopona;bidens;Histopona bidens;134;42 731 779;17 542 409;tb;deep cave;4 273 177 917 542 400;6;;;14,6
64;Jama pod Sv. Spasom;Croatia;3.5.2008.;2008-05-03;1f;1;Dysderidae;Folkia;inermis;Folkia inermis;;42 731 779;17 542 409;Tb;deep cave;4 273 177 917 542 400;6;;;14,6
65;Movrica;Croatia;28.4.2008.;2008-04-28;1 juv m;1;Agelenidae;Histopona;bidens;Histopona bidens;210;42 752 604;17 551 145;tb;deep cave;4 275 260 417 551 140;6;;;11,9
66;Male ponte;Croatia;27.4.2008.;2008-04-27;1 juv m;1;Agelenidae;Histopona;bidens;Histopona bidens;250;42 761 389;17 430 786;tb;deep cave;4 276 138 917 430 780;7;;;14,45
67;Movrica;Croatia;28.4.2008.;2008-04-28;1m, 1f, 3 juv;5;Agelenidae;Histopona;bidens;Histopona bidens;;42 752 604;17 551 145;tb;deep cave;4 275 260 417 551 140;6;;;11,9
68;Špilja u Solinama;Croatia;26.4.2008.;2008-04-26;1f, 2juv;3;Agelenidae;Histopona;bidens;Histopona bidens;17;42 768 021;17 377 062;tb;deep cave;4 276 802 117 377 060;5;;;10,3
68;Špilja u Solinama;Croatia;26.4.2008.;2008-04-26;1f, 2juv;3;Agelenidae;Histopona;bidens;Histopona bidens;17;42 768 021;17 377 062;tb;deep cave;4 276 802 117 377 060;5;;;6,25
68;Špilja u Solinama;Croatia;26.4.2008.;2008-04-26;1f, 2juv;3;Agelenidae;Histopona;bidens;Histopona bidens;17;42 768 021;17 377 062;tb;deep cave;4 276 802 117 377 060;5;;;10,3
70;Špilja u Solinama;Croatia;26.4.2008.;2008-04-26;1 juv;1;Dysderidae;Gen.;sp.;Gen.  sp.;;42 768 021;17 377 062;Tb;deep cave;4 276 802 117 377 060;5;;;10,3
70;Špilja u Solinama;Croatia;26.4.2008.;2008-04-26;1 juv;1;Dysderidae;Gen.;sp.;Gen.  sp.;;42 768 021;17 377 062;Tb;deep cave;4 276 802 117 377 060;5;;;6,25
70;Špilja u Solinama;Croatia;26.4.2008.;2008-04-26;1 juv;1;Dysderidae;Gen.;sp.;Gen.  sp.;;42 768 021;17 377 062;Tb;deep cave;4 276 802 117 377 060;5;;;10,3
71;Špilja u Solinama;Croatia;26.4.2008.;2008-04-26;1 juv;1;Dysderidae;Folkia;sp. 5;Folkia sp. 5;;42 768 021;17 377 062;Tb;deep cave;4 276 802 117 377 060;5;;;10,3
71;Špilja u Solinama;Croatia;26.4.2008.;2008-04-26;1 juv;1;Dysderidae;Folkia;sp. 5;Folkia sp. 5;;42 768 021;17 377 062;Tb;deep cave;4 276 802 117 377 060;5;;;6,25
71;Špilja u Solinama;Croatia;26.4.2008.;2008-04-26;1 juv;1;Dysderidae;Folkia;sp. 5;Folkia sp. 5;;42 768 021;17 377 062;Tb;deep cave;4 276 802 117 377 060;5;;;10,3
72;Jama na Brekalcima;Croatia;29.4.2008.;2008-04-29;1f;1;Agelenidae;Histopona;bidens;Histopona bidens;;42 781 895;17 407 747;tb;deep cave;4 278 189 517 407 740;1;;;12,867
73;Špilja kod Nerezinog dola;Croatia;27.4.2008.;2008-04-27;1 juv;1;Agelenidae;Tegenaria;sp.;Tegenaria sp.;201;42 758 378;17 436 094;;deep cave;4 275 837 817 436 090;6;;;15,5
73;Špilja kod Nerezinog dola;Croatia;27.4.2008.;2008-04-27;1 juv;1;Agelenidae;Tegenaria;sp.;Tegenaria sp.;201;42 758 378;17 436 094;;deep cave;4 275 837 817 436 090;6;;;12,267
74;Male ponte;Croatia;27.4.2008.;2008-04-27;2 juv;2;Agelenidae;Histopona;bidens;Histopona bidens;250;42 761 389;17 430 786;tb;deep cave;4 276 138 917 430 780;7;;;14,45
75;Jama za Sv. Ilijom;Croatia;2.5.2008.;2008-05-02;2 juv;2;Agelenidae;Histopona;bidens;Histopona bidens;;42 744 428;17 515 269;tb;deep cave;4 274 442 817 515 260;3;;;12,533
76;Jama na Žutim kokom;Croatia;2.5.2008.;2008-05-02;1 juv;1;Dysderidae;Folkia;inermis;Folkia inermis;;42 712 746;17 682 621;Tb;deep cave;4 271 274 617 682 620;3;;;
77;Gali?njak;Croatia;2.5.2008.;2008-05-02;1 juv;1;Agelenidae;Histopona;bidens;Histopona bidens;;42 720 118;1 767 071;tb;deep cave;427 201 181 767 071;11;;;13,6
