;;;;;exact place in the cave not specified;;;;;;cave entrance (ulaz);;;;;;deep cave;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;;other part of the cave - copy decription from the diary;;;;;
Field diary name;cave name;locality (e.g. village, town, mountain, municipality, country, etc.);date;any other note;air (zrak) temperature;soil (tlo) temperature;water (voda) temperature;air temperature Kestrel;humidity Kestrel;note on the exact location;air temperature;soil temperature;water temperature;air temperature Kestrel;humidity (vlaga) Kestrel;note on the exact location;air temperature;soil temperature;water temperature;air temperature Kestrel;humidity;note on the exact location;air temperature;soil temperature;water temperature;air temperature Kestrel;humidity;note on the exact location;air temperature;soil temperature;water temperature;air temperature Kestrel;humidity;note on the exact location;air temperature;soil temperature;water temperature;air temperature Kestrel;humidity;note on the exact location;air temperature;soil temperature;water temperature;air temperature Kestrel;humidity;note on the exact location;air temperature;soil temperature;water temperature;air temperature Kestrel;humidity;note on the exact location;air temperature;soil temperature;water temperature;air temperature Kestrel;humidity;note on the exact location;air temperature;soil temperature;water temperature;air temperature Kestrel;humidity;note on the exact location;air temperature;soil temperature;water temperature;air temperature Kestrel;humidity;note on the exact location;air temperature;soil temperature;water temperature;air temperature Kestrel;humidity;note on the exact location;air temperature;soil temperature;water temperature;air temperature Kestrel;humidity;note on the exact location
Biokovo;A-1;La?ena, Biokovo;17.6.2017.;;11,4;10,2;;;81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo;Amfora;;3.6.2017.;;;;;;;;4;;;4,5;99;ulazna dvorana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo;Amfora;Sv. Jure, Biokovo;17.6.2017.;;;;;;;;;;;;;;;;;;;;4,1;;;4,6;98,4;dvorana, -178 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biokovo;Amfora;Sv. Jure, Biokovo;24.6.2017.;;;;;;;;;;;;;;;;;;;;5,5;4,3;;;55;-178 m termohigro;4,9;4,3;;;92;-160 m, termohigro;4,4;4,3;;;87;-150 m,termohigro termohigro;4,5;5;;;91;-80 m, termohigro;4,9;4,9;;;91;-70 m, termohigro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vrgorac-Neretva-Metkovic;An?i?a mala Golubinka;An?i?a staje, Baleti?i;30.4.2018.;;11,5;;;;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vrgorac-Neretva-Metkovic;An?i?a velika Golubinka;An?i?a staje, Baleti?i;30.4.2018.;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Papuk;Antina špilja;Podrumine, Duzluk, Orahovica, Papuk;28.10.2008.;;13,2;;;;96,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vrgorac-Neretva-Metkovic;Antipati?na;Bokši?i, Zamagorje;30.4.2018.;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lukic dnevnik_dubrovnik;Aragonka – Ljuba? (2);x=4729904, y=6502010, z=384 m (ssilva);26.3.2008.;;15,2;15,4;15,4;15,5;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
