locality,Main entrance width (Dimenzije glavnog ulaza (širina)),Main entrance hught (Dimenzije glavnog ulaza (visina)),Number of entrances (Broj ulaza),Cave length (Duljina (m)),Horizontal cave length (Horizontalna duljina (m)),Cave depth (Dubina (m))
Špilja kod Marijanovića kuća,"0,7","0,7",1,14,13,3
Borušnjak 2,7,4,1,,10,21
Jama u Pisanom dolcu,1,"0,5",1,52,19,25
Acronium,"4,4","4,6",1,"32,6",11,"24,6"
Mala Mateina jama ,1,"0,5",1,11,4,9
Maklenska ,2,"2,5",1,44,"13,5","40,7"
Špilja u Murvenici,"3,5",7,1,,42,3
Višnjička špilja,"1,3","1,5",1,"5,1","4,8",0
Špilja krepanog jazavca,"0,6","0,8",2,31,31,3
Klementina IV,,,1,,,
Plodni dan,"1,5",1,1,11,5,10
Židovske jame,"0,5","0,5",1,,"95,8","1,8"
Jankova spilja,"0,9","1,2",1,"10,4",10,2
Svinjarije,2,1,1,49,13,42
Zimić pećina,"2,9","1,7",1,"10,3",,0
Gregor,4,3,1,,19,32
Grbina peć,7,10,1,,30,7
Jama na Učinovu,2,"2,5",1,39,15,31
Kuča jama,,"1,6",1,"17,4","5,2","14,7"
Smrčevičica,2,1,1,"7,5","6,5","2,5"
Spilja u Japagama,5,2,1,20,13,0
Mau Mau,10,10,1,,51,39
Kameni cvijet,4,26,1,,38,52
Jama u Salići kosa,1,1,1,68,42,28
Špilja kod Nerezinog dola,6,"2,5",1,,35,"5,5"
Bobića špilja pod Stražom ,2,"4,1",1,56,56,5
Samarnjača,,,1,52,52,22
Bele Ćela,1,"1,5",1,18,12,11
Ne može,17,11,1,,12,24
Jaruga,6,12,1,20,"12,9","6,3"
Zgubljena minđuša,2,3,1,8,3,8
Jama u Štirovači,11,8,1,"29,6","24,7","14,1"
Davorinka,"2,3","1,5",1,,"46,5",27
SM 1,"0,4","0,7",1,6,"3,5",3
Špilja u uvali Vidrovača,"1,5",1,1,,"42,2","8,7"
Klementina 8,"0,6","1,5",1,17,"9,5",8
Jama za Presikom,2,2,1,28,6,16
Nadpodčorkica,"0,7","0,7",1,6,"5,4","1,8"
Vrtačasta jama,4,3,1,,26,"9,5"
Prduljak,"0,7","1,8",1,"17,5",7,"13,3"
Orljak 2,5,1,1,13,7,11
Jama Ostrišnjak,"2,5",1,1,39,10,29
Kaljuža,10,10,1,86,24,22
Budin pupak,,,1,,,
Izvor Slunjčice,,,1,,,
Džalina pećina,"7,5","4,5",1,20,"18,5",0
Pride rock,"1,5","1,5",1,"21,5","7,7",10
Spilja u Đurića gaju,5,3,1,25,25,0
Jama Koće,1,"0,5",1,"58,2","23,1","33,2"
Rogić špilja,"2,5","2,5",1,,35,6
Jama Kujsnica,1,1,1,"5,1","2,97","3,9"
Špilja Parenzana I,"1,3",1,1,"10,5",9,4
Veštar,,,1,,,
Bovone,"2,6","4,3",1,196,167,38
Perlinac,"4,9","4,2",1,235,225,5
Špejarka,10,5,1,58,"6,5",55
Ispred jame Ćuprija,6,2,1,23,14,17
Priko puta puta,"0,6",1,1,"72,8","19,4",44
Špiljica pod skloništem Dušice,"2,8","1,5",1,"6,5","6,5",2
464,1,1,1,14,13,"2,5"
Sušica,,,1,,,
Mala Veternica,"0,7","0,4",1,15,15,3
4x4,"2,6","1,7",1,43,26,19
Jama s prijelazom,"2,5",2,1,20,"11,6","11,3"
Cepinka,"0,8","0,6",1,22,16,17
Špilja u Večkom polju,,,1,"43,8","43,8","13,9"
Gušta,"1,6","0,6",1,"7,4","7,1","1,1"
Špilja na Gradini kod Premanture,,,1,,,
Vranjača Runovići,1,1,1,20,20,0
Kopanija,"1,3","0,8",1,"78,3","32,3","56,6"
Bili kuk 1,"2,5","1,4",1,"15,5",10,"6,5"
Šprljina jama,"0,5","0,5",1,,"2,5","9,5"
Kojići pećina 2,4,"1,5",1,,7,0
Sjetna jama,"1,4","0,9",1,"6,1",3,"5,4"
Diva 2,"1,5",2,1,"8,5",6,"5,5"
Trasirana jama,1,1,1,,5,32
Zabluda,"1,5",1,1,80,6,75
Berajterova špilja,1,"1,5",1,"5,8","5,5",0
Jama u Potkalaču,"0,7","0,6",1,"7,3",5,"4,6"
Pećina kod Ljubićeve stancije,"1,8","3,8",1,15,12,"9,6"
Meddow,7,2,1,41,30,9
Ponor Sadikovac,"4,2",2,1,"107,7",104,2
Dinkova špilja,"1,5",1,1,30,30,0
I dalje MiG 03,3,"1,5",1,8,8,0
Jama u Bratušu,7,"1,8",1,18,7,11
Košenica,1,"0,4",1,6,"5,6","0,2"
Duga devetka,"1,3","1,5",1,40,22,20
Sunčana postavljačica,3,1,1,"9,8","2,6",8
Špilja Crkvenica,8,6,1,,30,11
Pećina u Gaju,1,1,1,,20,4
Špilja u Paležima,"3,5","1,5",1,22,18,"7,5"
Magaretuša,3,1,1,40,12,37
Spilja pod Meragom,5,"3,5",1,,"7,5",0
Čačkalicičnjak,4,2,1,,8,47
Smokovača,"4,2",3,1,61,58,9
Špilja pod Blatačkim brigom,12,5,1,"35,5",34,6
Pećina na Bačvarici,"1,5","1,8",1,,"8,5",0
Jama na Gnojini,,,1,,,
Brestovica,3,"1,8",1,12,10,"0,5"
Dvjestodesetka,"2,5","6,5",1,"19,1","10,2","8,5"
Jama od Crnog,3,5,1,96,76,23
Jadave 1,3,7,1,"13,3","6,5",9
Vila Jezerkinja,11,8,1,121,114,2
Pećina u Grizili,8,1,1,"22,5","21,7","5,6"
Bezimena jama No. 1,10,5,1,"66,5",30,22
Ledenica kraj TV bivka,15,12,1,46,42,22
Krepova jama,"2,5",5,1,,21,26
Pećina pod Skokom,"1,5",1,1,86,"78,7","19,3"
Koprofagija,"1,7","2,2",1,"50,6","9,5",47
Špilja u Nevistinim stinama,"15,5",9,1,"31,5","31,5",0
Goranka,4,4,1,33,9,30
Snežnica u Velim Sapcima  ,18,8,1,,10,15
Golubinka,3,3,1,,23,25
Kontakt sistem,"2,3","1,3",1,15,"11,1","7,9"
Tovaruša,"4,2","3,4",1,"11,5",11,"4,4"
Jama na Andrinovom lazu,1,2,1,,6,14
Morska špilja uz Levrnaku,1,1,1,22,6,13
Stari Gojak,,,1,,,
Bunar jama kod Grujića staje,"0,5","0,5",1,5,4,5
Jama Mala Golubinka,"0,5",2,1,22,17,13
Jama na Jančariji,1,"0,7",1,,6,19
Vlažna Mađarica,"0,8",4,1,181,117,59
Špilja u Potomju,3,"2,7",1,"26,9","21,8",8
Smećarka,"0,9","0,9",1,6,4,"5,6"
Govničko na Gorničko,2,4,1,26,13,11
Jasena ponor,1,"0,7",1,505,378,169
Medvjeđa špilja,"1,5","0,8",1,,115,37
Odjel 29,2,4,1,55,"35,5","25,8"
Turkovica,1,2,1,17,4,13
Stari ponor Matice desni,"2,1","2,2",1,28,26,5
Jama u minusu,,,1,,"13,7","23,7"
Škriljine,"0,3","0,8",1,7,"2,5",5
Ponor 2,5,"1,5",1,"9,8","8,7",5
Ciganuša iznad Tudereva,2,2,1,100,88,16
Pećina nad Globokim dolcima,"1,5",1,1,,16,3
Trogrlo,10,6,1,81,72,45
Velika ledenica,12,1,1,,12,11
Poskokova,"2,75","1,8",1,26,21,5
Kaverna pod vijaduktom kod Puljana,,,1,,,
Selnica,,,1,"9,4","9,4",0
Male spile,,,1,,,
Golubinka kod Kladnjica,10,5,1,70,23,60
Pivčeva jama,"1,4","1,7",1,48,32,33
Špilja na Tovarnjaku,,,1,,,
Jama kod Rapajića vrtlića,"0,5","1,5",1,21,10,19
Dragina lipa jama,2,"1,5",1,253,170,124
Mrčina jama,"0,5","0,5",1,9,4,8
Špilja pokraj Božinkine,4,2,1,,"52,5",20
Poskokova špilja,1,1,1,,"7,5",3
Vela špilja u Krugu,1,"0,8",1,,77,36
Rokerica,4,26,1,,38,"36,6"
Jagodica,5,5,1,136,67,66
Špilja Parenzana II,"1,2","1,4",1,11,"9,5",3
Avionski kotač,"0,7","0,7",1,"7,2","3,3","5,5"
JPG1,5,3,1,,10,12
Katai Ana,1,1,1,10,"3,5","6,5"
Vranjkuša,7,5,1,,33,48
K1,6,4,1,38,18,26
Jama na Razboju,9,4,1,48,26,28
Jama poli Jami,"2,5",15,1,36,14,"26,5"
Mala jama pod Barišinovcem,"4,7",3,1,46,25,21
Rujna pukotina,6,2,1,13,9,11
Jama u Srnjaku,3,"1,8",1,,70,8
Topolkova hiža 1,"2,5",3,1,,"6,5",0
Jama u uvali devet hriba,1,2,1,,6,18
Mala vratarska jama,7,8,1,"21,4","15,1","9,5"
Jama na maloj Opatijici  ,"0,6","1,2",1,,4,7
Sniježnica kod Stradivarija,3,9,1,19,11,"18,5"
G19,1,"1,5",1,,3,7
Golubnjača na Liveru,15,10,1,30,30,0
Osice,5,"1,5",1,8,8,3
Krumpirić,"4,8","1,3",1,"7,9","5,3","5,7"
Sloševa pećica,"4,5","1,5",1,5,5,"0,3"
Jama u Čušćici,"0,7","1,5",1,40,19,21
Pećina Ravni,2,2,1,17,16,4
Bačvenik,2,"1,8",1,13,12,0
Vučak,1,1,1,35,31,1
Jama na Dubovim vratima,10,2,1,"19,3",16,10
Jama na Čiči,"0,5","0,5",1,20,7,15
Žablja jama,2,2,1,,18,16
Ivanova jama,"1,5",2,1,21,11,15
Jama nad Kupom,"1,5","2,5",1,41,30,15
Spilja kod turske kule,5,3,1,12,10,0
Brdo,"0,5","0,3",1,18,"12,5","9,5"
Japagina 1,8,2,1,,143,109
Mississippi,3,1,1,"74,6","55,8","30,1"
Baba jama,20,5,1,71,70,34
G9,9,1,1,,"9,5",0
Trišića jama,,,1,,,
Grob grofa Jankovića,5,"0,7",1,,"6,7",0
Medvednica,,,1,,,
Debela ljut špilja,"1,5",2,1,128,105,54
Cinkalica 4,1,2,1,,"8,5","10,5"
Alisa 2,"5,3",4,1,,,"5,6"
Jamica u Rudinama 1,"0,7","0,6",1,,"3,5",6
Jama do Strmca,2,1,1,8,5,4
Golubinka kod Kuluše,4,2,1,37,16,30
Mono,"5,1","2,5",1,,3,"18,2"
Slamka,1,"0,5",1,18,5,17
Jama na Marinovici,"0,7","0,35",1,13,"2,5",14
Maklutača,11,"6,5",1,152,140,39
Gvozdenka,,,1,,57,85
Kosjenka,5,5,1,120,"22,5",73
Špilja podno Rope,"2,5",19,1,75,,2
Škuja na lokvice,1,1,1,30,4,26
Špilja u Bunariću,"1,7",1,1,,"26,5","4,6"
Jama kod Špraljin stana,"1,2","1,8",1,14,8,"9,5"
Goropadnica,"2,5","1,5",1,74,"31,5",54
Borovnica,"5,5",13,1,"112,1","45,4","51,9"
Druga šparugara,"1,5",2,1,19,15,12
Mrma,2,1,1,23,9,18
Mala Debeljača,15,9,1,49,43,15
Jama ispod ceste,"0,6","0,5",1,,9,24
Malo Razočaranje,7,5,1,22,"17,5","7,2"
Dijetna jama,"0,6",1,1,9,"6,4","6,2"
Gaćina jama,5,4,1,95,18,85
Jama Čabrnica,1,1,1,122,96,57
Jama pokraj Marinove jame,5,6,1,12,6,12
Šupljaja,4,8,1,20,15,0
Razbijene glondže,"0,7",1,1,38,"7,5",34
Jama Pucićevina,5,"2,5",1,80,36,58
Cik-cak,"0,76","0,65",1,57,56,"2,3"
Kuterevčeva špilja,2,4,1,,272,0
Jamurina,10,10,1,41,13,36
Skrovište (Hamište),"1,6",2,1,"6,1","4,3",0
Nova nada,"9,4","6,8",1,144,94,61
