sample ID,locality,country,Collection date,eventDate,Number and gender,individualCount,Family,Genus,species,scientific name,elevation,decimalLatitude,decimalLongitude,Troglomorphy,habitat,joint coordinates,unique species count,deepest air temperature,média temperature,Temp anual,Temp anual.1,TempRange,Prec,land_use_code,LGM_dist_km,media humidity,deepest air humidity,Main entrance width (Dimenzije glavnog ulaza (širina)),Main entrance hught (Dimenzije glavnog ulaza (visina)),Number of entrances (Broj ulaza),Cave length (Duljina (m)),Horizontal cave length (Horizontalna duljina (m)),Cave depth (Dubina (m))
1,Špilja na Pozalicu,Croatia,29.9.2007.,2007-09-29,"1 m, 1 f",2,Nesticidae,Kryptonesticus,eremita,,61,4.276.131,169.129,tf,deep cave,,4,"12,65",14,"16,4216671","16,4216671","22,7733345",668,29,"143,02697",94,,nan,nan,1,nan,nan,nan
2,Špilja na Pozalicu,Croatia,4.3.2008.,2008-03-04,"1 m, 1 f",2,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,61,4.276.131,169.129,tf,deep cave,,4,"12,65",14,"16,4216671","16,4216671","22,7733345",668,29,"143,02697",94,,nan,nan,1,nan,nan,nan
4,Jama pod Velji vrh,Croatia,30.9.2007.,2007-09-30,3 juv,3,Dysderidae,Folkia,sp. 2,Folkia sp. 2,55,42.766.635,16.907.278,Tb,deep cave,,2,,"16,567","16,4216671","16,4216671","22,7733345",668,29,"142,6292455","95,667",,1,2,1,nan,90,41
7,Špilja na Pozalicu,Croatia,29.9.2007.,2007-09-29,1 juv,1,Cheiracanthiidae,Gen.,sp.,Gen. sp.,61,4.276.131,169.129,,,,4,"12,65",14,"16,4216671","16,4216671","22,7733345",668,29,"143,02697",94,,nan,nan,1,nan,nan,nan
8,Špilja na Pozalicu,Croatia,3.3.2008.,2008-03-03,6 juv,6,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,61,4.276.131,169.129,tf,deep cave,,4,"12,65",14,"16,4216671","16,4216671","22,7733345",668,29,"143,02697",94,,nan,nan,1,nan,nan,nan
9,Rača špilja,Croatia,28.9.2007.,2007-09-28,1 juv,1,Dysderidae,Folkia,sp. 2,Folkia sp. 2,90,42.734.493,16.910.785,Tb,deep cave,,4,"14,8","14,42","16,37628174","16,37628174","22,81538391",662,28,"146,7036244",,,,,,,,
10,Jama pod Velji vrh,Croatia,30.9.2007.,2007-09-30,1 juv,1,Dysderidae,Folkia,sp. 2,Folkia sp. 2,55,42.766.635,16.907.278,Tb,deep cave,,2,,"16,567","16,4216671","16,4216671","22,7733345",668,29,"142,6292455","95,667",,1,2,1,nan,90,41
11,Hrastovska špilja,Croatia,2.10.2007.,2007-10-02,5 juv,5,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,103,42.756.282,16.875.635,tf,deep cave,,4,,"12,6","16,4216671","16,4216671","22,7733345",668,29,"145,7479543",94,,nan,nan,1,nan,nan,nan
12,Rača špilja,Croatia,28.9.2007.,2007-09-28,1 f,1,Dysderidae,Folkia,sp. 2,Folkia sp. 2,90,42.734.493,16.910.785,Tb,deep cave,,4,"14,8","14,42","16,37628174","16,37628174","22,81538391",662,28,"146,7036244",,,,,,,,
13,Jama pod Velji vrh,Croatia,30.9.2007.,2007-09-30,1 juv,1,Dysderidae,Folkia,sp. 2,Folkia sp. 2,55,42.766.635,16.907.278,Tb,deep cave,,2,,"16,567","16,4216671","16,4216671","22,7733345",668,29,"142,6292455","95,667",,1,2,1,nan,90,41
