sample ID,locality,country,Collection date,eventDate,Number and gender,individualCount,Family,Genus,species,scientific name,Z,decimalLatitude,decimalLongitude,Troglomorphy,habitat,joint coordinates
1,Špilja na Pozalicu,Croatia,29.9.2007.,2007-09-29,"1 m, 1 f",2,Nesticidae,Kryptonesticus,eremita,,60,42.76131,16.9129,tf,deep cave,
2,Špilja na Pozalicu,Croatia,4.3.2008.,2008-03-04,"1 m, 1 f",2,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,60,42.76131,16.9129,tf,deep cave,#N/A
3,oko kampa u Skrivenoj Luci,Croatia,4.3.2008.,2008-03-04,1 f,1,Dysderidae,Dysdera,sp.,Dysdera sp.,,42.741872,16.88264,Tx,,#N/A
4,Jama pod Velji vrh,Croatia,30.9.2007.,2007-09-30,3 juv,3,Dysderidae,Folkia,sp. 2,Folkia sp. 2,70,42.766635,16.907278,Tb,deep cave,#N/A
5,Medvidina špilja,Croatia,3.3.2008.,2008-03-03,"2f, 4 juv",6,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,,42.734776,16.863532,tf,deep cave,#N/A
7,Špilja na Pozalicu,Croatia,29.9.2007.,2007-09-29,1 juv,1,Cheiracanthiidae,Gen.,sp.,Gen. sp.,60,42.76131,16.9129,,,#N/A
8,Špilja na Pozalicu,Croatia,3.3.2008.,2008-03-03,6 juv,6,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,60,42.76131,16.9129,tf,deep cave,#N/A
9,Rača špilja,Croatia,28.9.2007.,2007-09-28,1 juv,1,Dysderidae,Folkia,sp. 2,Folkia sp. 2,141,42.734493,16.910785,Tb,deep cave,#N/A
10,Jama pod Velji vrh,Croatia,30.9.2007.,2007-09-30,1 juv,1,Dysderidae,Folkia,sp. 2,Folkia sp. 2,,42.766635,16.907278,Tb,deep cave,#N/A
11,Hrastovska špilja,Croatia,2.10.2007.,2007-10-02,5 juv,5,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,120,42.756282,16.875635,tf,deep cave,#N/A
12,Rača špilja,Croatia,28.9.2007.,2007-09-28,1 f,1,Dysderidae,Folkia,sp. 2,Folkia sp. 2,141,42.734493,16.910785,Tb,deep cave,#N/A
13,Jama pod Velji vrh,Croatia,30.9.2007.,2007-09-30,1 juv,1,Dysderidae,Folkia,sp. 2,Folkia sp. 2,,42.766635,16.907278,Tb,deep cave,#N/A
14,Špilja na Pozalicu,Croatia,4.3.2008.,2008-03-04,1 f,1,Leptonetidae,Barusia,sp. 1,Barusia sp. 1,60,42.76131,16.9129,tb,deep cave,#N/A
16,Polušpilja na Mrčari,Croatia,1.10.2007.,2007-10-01,"1f, 2 juv",3,Agelenidae,Tegenaria,domestica,Tegenaria domestica,,42.768583,16.788965,Tf,cave entrance,#N/A
18,Špilja na Pozalicu,Croatia,29.9.2007.,2007-09-29,"1 f, 1 juv",2,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,60,42.76131,16.9129,tf,deep cave,#N/A
19,Špilja na Pozalicu,Croatia,3.3.2008.,2008-03-03,1 juv,1,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,60,42.76131,16.9129,tf,deep cave,#N/A
20,Jama pod Velji vrh,Croatia,30.9.2007.,2007-09-30,"1 f, 1 juv",2,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,,42.766635,16.907278,tf,deep cave,#N/A
21,Špilja na Pozalicu,Croatia,29.9.2007.,2007-09-29,2 juv,2,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,60,42.76131,16.9129,tf,deep cave,#N/A
22,Jama pod Velji vrh (ispred),Croatia,2.3.2008.,2008-03-02,1 juv,1,Dysderidae,Folkia,sp. 2,Folkia sp. 2,,42.766635,16.907278,Tb,shallow subterranean habitat,#N/A
23,Hrastovska špilja,Croatia,3.3.2008.,2008-03-03,2 juv,2,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,120,42.756282,16.875635,tf,deep cave,#N/A
25,Rača špilja,Croatia,28.9.2007.,2007-09-28,1f,1,Dysderidae,Folkia,sp. 2,Folkia sp. 2,141,42.734493,16.910785,Tb,deep cave,#N/A
26,Špilja pod Kaštel,Croatia,4.3.2008.,2008-03-04,1 m,1,Leptonetidae,Barusia,sp. 1,Barusia sp. 1,,42.768041,16.899005,tb,deep cave,#N/A
29,Hrastovska špilja,Croatia,4.3.2008.,2008-03-04,6 juv,6,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,120,42.756282,16.875635,tf,deep cave,#N/A
30,Rača špilja,Croatia,28.9.2007.,2007-09-28,1 juv,1,Dysderidae,Folkia,sp. 2,Folkia sp. 2,141,42.734493,16.910785,Tb,deep cave,#N/A
31,Hrastovska špilja,Croatia,2.10.2007.,2007-10-02,5 juv,5,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,120,42.756282,16.875635,tf,deep cave,#N/A
32,Hrastovska špilja,Croatia,3.3.2008.,2008-03-03,"1 f, 1 juv m",2,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,120,42.756282,16.875635,tf,deep cave,#N/A
33,Jama pod Velji vrh,Croatia,30.9.2007.,2007-09-30,3 juv,3,Dysderidae,Folkia,sp. 2,Folkia sp. 2,,42.766635,16.907278,Tb,deep cave,#N/A
34,Rača špilja,Croatia,28.9.2007.,2007-09-28,1 juv,1,Dysderidae,Folkia,sp. 2,Folkia sp. 2,141,42.734493,16.910785,Tb,deep cave,#N/A
35,Špilja na Pozalicu,Croatia,3.3.2008.,2008-03-03,1 f,1,Pholcidae,Pholcus,phalangioides,Pholcus phalangioides,60,42.76131,16.9129,,deep cave,#N/A
36,Hrastovska špilja,Croatia,3.3.2008.,2008-03-03,1 juv,1,Dysderidae,Folkia,sp. 2,Folkia sp. 2,120,42.756282,16.875635,Tb,deep cave,#N/A
37,Medvidina špilja,Croatia,3.3.2008.,2008-03-03,"1 f, 1 juv m",2,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,,42.734776,16.863532,tf,deep cave,#N/A
39,Špilja pod Kaštel,Croatia,27.9.2007.,2007-09-27,2 juv,2,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,,42.768041,16.899005,tf,deep cave,#N/A
41,Rača špilja,Croatia,2.10.2007.,2007-10-02,1 juv,1,Agelenidae,Tegenaria,sp.,Tegenaria sp.,141,42.734493,16.910785,,deep cave,#N/A
42,Jama Cvjetana Barbića,Croatia,1.10.2007.,2007-10-01,2 juv,2,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,73,42.740282,16.879112,tf,deep cave,#N/A
44,Jama pod Velji vrh,Croatia,30.9.2007.,2007-09-30,1 juv,1,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,70,42.766635,16.907278,tf,deep cave,#N/A
45,Hrastovska špilja,Croatia,2.10.2007.,2007-10-02,2 juv,2,Dysderidae,Folkia,sp. 2,Folkia sp. 2,120,42.756282,16.875635,Tb,deep cave,#N/A
46,Špilja na Pozalicu,Croatia,3.3.2008.,2008-03-03,1 m,1,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,60,42.76131,16.9129,tf,deep cave,#N/A
47,Jama pod Velji vrh,Croatia,2.3.2008.,2008-03-02,1 juv,1,Dysderidae,Folkia,sp. 2,Folkia sp. 2,,42.766635,16.907278,Tb,deep cave,#N/A
48,Hrastovska špilja,Croatia,3.3.2008.,2008-03-03,"1 f, 1 juv",2,Leptonetidae,Barusia,sp. 1,Barusia sp. 1,120,42.756282,16.875635,tb,deep cave,#N/A
50,Hrastovska špilja,Croatia,3.3.2008.,2008-03-03,2 juv,2,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,120,42.756282,16.875635,tf,deep cave,#N/A
51,Hrastovska špilja,Croatia,2.10.2007.,2007-10-02,1 f,1,Linyphiidae,Bathyphantes,sp. 1,Bathyphantes sp. 1,120,42.756282,16.875635,Tx,,#N/A
53,Špilja pod Kaštel,Croatia,4.3.2008.,2008-03-04,1 m,1,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,,42.768041,16.899005,tf,deep cave,#N/A
54,Špilja na Pozalicu,Croatia,29.9.2007.,2007-09-29,1 juv,1,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,60,42.76131,16.9129,tf,deep cave,#N/A
56,Breg jama,Croatia,30.4.2008.,2008-04-30,1 juv,1,Dysderidae,Harpactea,sp.,Harpactea sp.,,42.723459,17.591234,,,#N/A
57,Jama Međugrađen,Croatia,30.4.2008.,2008-04-30,"1m, 2 juv?",3,Dysderidae,Harpactea,sp. 9,Harpactea sp. 9,,42.737934,17.55671,Tb,deep cave,#N/A
58,Jama Međugrađen,Croatia,30.4.2008.,2008-04-30,"1f, 2juv",3,Agelenidae,Histopona,bidens,Histopona bidens,,42.737934,17.55671,tb,deep cave,#N/A
59,Jarač na ponti od Graca,Croatia,3.5.2008.,2008-05-03,2 juv,2,Agelenidae,Histopona,bidens,Histopona bidens,,42.785308,17.392067,tb,deep cave,#N/A
60,Jama na Žutim kokom,Croatia,2.5.2008.,2008-05-02,1 juv,1,Agelenidae,Histopona,bidens,Histopona bidens,326,42.712746,17.682621,tb,deep cave,#N/A
61,Ostaševica,Croatia,28.4.2008.,2008-04-28,"1f, 1juv m",2,Agelenidae,Histopona,bidens,Histopona bidens,220,42.748959,17.544404,tb,deep cave,#N/A
62,Jama na Brekalcima,Croatia,29.4.2008.,2008-04-29,"1m, 1f",2,Agelenidae,Histopona,bidens,Histopona bidens,,42.781895,17.407747,tb,deep cave,#N/A
63,Jama pod Sv. Spasom,Croatia,3.5.2008.,2008-05-03,1f,1,Agelenidae,Histopona,bidens,Histopona bidens,134,42.731779,17.542409,tb,deep cave,#N/A
64,Jama pod Sv. Spasom,Croatia,3.5.2008.,2008-05-03,1f,1,Dysderidae,Folkia,inermis,Folkia inermis,,42.731779,17.542409,Tb,deep cave,#N/A
65,Movrica,Croatia,28.4.2008.,2008-04-28,1 juv m,1,Agelenidae,Histopona,bidens,Histopona bidens,210,42.752604,17.551145,tb,deep cave,#N/A
66,Male ponte,Croatia,27.4.2008.,2008-04-27,1 juv m,1,Agelenidae,Histopona,bidens,Histopona bidens,250,42.761389,17.430786,tb,deep cave,#N/A
67,Movrica,Croatia,28.4.2008.,2008-04-28,"1m, 1f, 3 juv",5,Agelenidae,Histopona,bidens,Histopona bidens,,42.752604,17.551145,tb,deep cave,#N/A
